#CfA3-era Type II SN Natural System Light Curves
#Name	  Band	MJD	     N  NatMag  dMag   Campaign  Camera
SN2005kd  r'	53766.32646  1  15.095  0.012  CfA3  KEP
SN2005kd  r'	53781.24367  1  15.122  0.011  CfA3  KEP
SN2005kd  r'	53786.20571  1  15.136  0.012  CfA3  KEP
SN2005kd  r'	53787.11271  1  15.133  0.013  CfA3  KEP
SN2005kd  r'	53800.13395  1  15.164  0.012  CfA3  KEP
SN2005kd  r'	53805.16157  1  15.161  0.012  CfA3  KEP
SN2005kd  r'	53807.15634  1  15.160  0.012  CfA3  KEP
SN2005kd  r'	53827.13765  1  15.145  0.013  CfA3  KEP
SN2005kd  r'	53834.11883  1  15.129  0.012  CfA3  KEP
SN2005kd  r'	53997.44700  1  15.584  0.016  CfA3  KEP
SN2005kd  r'	53998.48639  1  15.610  0.014  CfA3  KEP
SN2005kd  r'	54007.43409  1  15.666  0.024  CfA3  KEP
SN2005kd  r'	54007.43953  1  15.773  0.041  CfA3  KEP
SN2005kd  r'	54008.47635  1  15.673  0.019  CfA3  KEP
SN2005kd  r'	54009.42559  1  15.661  0.015  CfA3  KEP
SN2005kd  r'	54011.41339  1  15.721  0.028  CfA3  KEP
SN2005kd  r'	54012.41341  1  15.682  0.014  CfA3  KEP
SN2005kd  r'	54015.37030  1  15.701  0.018  CfA3  KEP
SN2005kd  r'	54015.39001  1  15.707  0.018  CfA3  KEP
SN2005kd  r'	54015.41002  1  15.708  0.019  CfA3  KEP
SN2005kd  r'	54016.37512  1  15.708  0.015  CfA3  KEP
SN2005kd  r'	54041.32981  1  15.963  0.020  CfA3  KEP
SN2005kd  r'	54045.26379  1  16.076  0.045  CfA3  KEP
SN2005kd  r'	54046.31119  1  16.024  0.071  CfA3  KEP
SN2005kd  r'	54046.34853  1  15.955  0.014  CfA3  KEP
SN2005kd  r'	54046.36100  1  15.971  0.014  CfA3  KEP
SN2005kd  r'	54051.38983  1  16.062  0.013  CfA3  KEP
SN2005kd  r'	54071.34709  1  16.286  0.014  CfA3  KEP
SN2005kd  r'	54089.39123  1  16.529  0.014  CfA3  KEP
SN2005kd  r'	54100.17689  1  16.699  0.018  CfA3  KEP
SN2005kd  r'	54101.19421  1  16.735  0.020  CfA3  KEP
SN2005kd  r'	54102.20353  1  16.735  0.023  CfA3  KEP
SN2005kd  r'	54102.29896  1  16.764  0.025  CfA3  KEP
SN2005kd  r'	54117.22775  1  16.998  0.015  CfA3  KEP
SN2005kd  r'	54139.16207  1  17.341  0.016  CfA3  KEP
SN2005kd  r'	54140.21395  1  17.349  0.017  CfA3  KEP
SN2005kd  r'	54149.12662  1  17.474  0.017  CfA3  KEP
SN2005kd  r'	54153.11337  1  17.545  0.019  CfA3  KEP
SN2005kd  r'	54161.12177  1  17.689  0.029  CfA3  KEP
SN2005kd  r'	54162.11384  1  17.641  0.089  CfA3  KEP
SN2005kd  r'	54163.13179  1  17.647  0.046  CfA3  KEP
SN2005kd  r'	54166.10178  1  17.762  0.053  CfA3  KEP
SN2005kd  r'	54169.12708  1  17.808  0.023  CfA3  KEP
SN2005kd  r'	54178.12642  1  18.139  0.062  CfA3  KEP
SN2005kd  r'	54189.12673  1  18.074  0.053  CfA3  KEP
SN2005kd  r'	54194.11576  1  18.459  0.075  CfA3  KEP
SN2005kd  r'	54210.12183  1  18.468  0.060  CfA3  KEP
SN2005kd  i'	53689.33334  1  15.654  0.019  CfA3  KEP
SN2005kd  i'	53689.37575  1  15.717  0.035  CfA3  KEP
SN2005kd  i'	53690.39550  1  15.468  0.014  CfA3  KEP
SN2005kd  i'	53690.41265  1  15.460  0.014  CfA3  KEP
SN2005kd  i'	53691.41194  1  15.336  0.029  CfA3  KEP
SN2005kd  i'	53692.41455  1  15.201  0.027  CfA3  KEP
SN2005kd  i'	53692.43120  1  15.232  0.039  CfA3  KEP
SN2005kd  i'	53693.42441  1  15.079  0.014  CfA3  KEP
SN2005kd  i'	53694.41117  1  15.042  0.014  CfA3  KEP
SN2005kd  i'	53695.42098  1  14.944  0.015  CfA3  KEP
SN2005kd  i'	53696.41366  1  14.998  0.040  CfA3  KEP
SN2005kd  i'	53707.36583  1  14.815  0.049  CfA3  KEP
SN2005kd  i'	53713.16145  1  14.947  0.064  CfA3  KEP
SN2005kd  i'	53714.18931  1  14.707  0.015  CfA3  KEP
SN2005kd  i'	53730.36189  1  14.798  0.017  CfA3  KEP
SN2005kd  i'	53764.28579  1  15.015  0.018  CfA3  KEP
SN2005kd  i'	53766.32806  1  14.999  0.014  CfA3  KEP
SN2005kd  i'	53781.24596  1  15.052  0.013  CfA3  KEP
SN2005kd  i'	53786.20733  1  15.078  0.015  CfA3  KEP
SN2005kd  i'	53787.11502  1  15.066  0.016  CfA3  KEP
SN2005kd  i'	53800.13624  1  15.120  0.016  CfA3  KEP
SN2005kd  i'	53805.16389  1  15.138  0.014  CfA3  KEP
SN2005kd  i'	53807.15867  1  15.148  0.013  CfA3  KEP
SN2005kd  i'	53827.13995  1  15.164  0.014  CfA3  KEP
SN2005kd  i'	53834.12115  1  15.158  0.013  CfA3  KEP
SN2005kd  i'	53997.44470  1  16.039  0.017  CfA3  KEP
SN2005kd  i'	53998.48407  1  16.075  0.017  CfA3  KEP
SN2005kd  i'	54007.42888  1  16.128  0.015  CfA3  KEP
SN2005kd  i'	54007.43178  1  16.130  0.023  CfA3  KEP
SN2005kd  i'	54007.43722  1  16.159  0.019  CfA3  KEP
SN2005kd  i'	54008.47403  1  16.190  0.025  CfA3  KEP
SN2005kd  i'	54009.42329  1  16.170  0.028  CfA3  KEP
SN2005kd  i'	54011.41108  1  16.194  0.026  CfA3  KEP
SN2005kd  i'	54012.41110  1  16.180  0.019  CfA3  KEP
SN2005kd  i'	54015.34861  1  16.234  0.027  CfA3  KEP
SN2005kd  i'	54015.36798  1  16.232  0.021  CfA3  KEP
SN2005kd  i'	54015.38771  1  16.200  0.020  CfA3  KEP
SN2005kd  i'	54015.40770  1  16.220  0.023  CfA3  KEP
SN2005kd  i'	54016.37280  1  16.216  0.015  CfA3  KEP
SN2005kd  i'	54041.32749  1  16.456  0.017  CfA3  KEP
SN2005kd  i'	54044.30192  1  16.569  0.037  CfA3  KEP
SN2005kd  i'	54046.30888  1  16.382  0.045  CfA3  KEP
SN2005kd  i'	54046.33640  1  16.514  0.021  CfA3  KEP
SN2005kd  i'	54046.35868  1  16.502  0.021  CfA3  KEP
SN2005kd  i'	54051.38751  1  16.570  0.015  CfA3  KEP
SN2005kd  i'	54071.34473  1  16.838  0.018  CfA3  KEP
SN2005kd  i'	54089.38892  1  17.113  0.023  CfA3  KEP
SN2005kd  i'	54100.17456  1  17.244  0.026  CfA3  KEP
SN2005kd  i'	54101.19190  1  17.237  0.028  CfA3  KEP
SN2005kd  i'	54102.20123  1  17.288  0.030  CfA3  KEP
SN2005kd  i'	54102.29664  1  17.351  0.039  CfA3  KEP
SN2005kd  i'	54117.22544  1  17.534  0.026  CfA3  KEP
SN2005kd  i'	54139.15977  1  17.906  0.021  CfA3  KEP
SN2005kd  i'	54140.21164  1  17.894  0.024  CfA3  KEP
SN2005kd  i'	54149.12431  1  17.988  0.034  CfA3  KEP
SN2005kd  i'	54153.11106  1  18.173  0.029  CfA3  KEP
SN2005kd  i'	54161.11946  1  18.195  0.038  CfA3  KEP
SN2005kd  i'	54163.12948  1  18.151  0.070  CfA3  KEP
SN2005kd  i'	54166.09946  1  18.365  0.086  CfA3  KEP
SN2005kd  i'	54169.12478  1  18.413  0.037  CfA3  KEP
SN2005kd  i'	54178.12411  1  18.522  0.053  CfA3  KEP
SN2005kd  i'	54189.12441  1  18.775  0.092  CfA3  KEP
